customer_id,city,state,zip,email,monthly_usage_kwh,monthly_bill,service_type,status,ip_address,monthly_bill_clean,phone,name,address,language,company,account_open_date,last_payment_date,browser
87,"South Leon",MD,Unknown,tayloradam@yahoo.com,1460.4,"309.29 USD",Gas,Active,195.77.181.31,309.29,700-293-9361,"kathleen jensen","657 jordan view apt. 459",en-US,navarro-chen,2019-08-29,2023-04-29,safari
56,Haysside,KS,92306,epollard@white.info,964.4,$84.91,Water,Active,44.59.9.229,84.91,349-462-4232,"joshua li","3030 mahoney passage",es-ES,unknown,2020-03-15,2024-10-23,chrome
68,Stewartstad,WY,99051,erica49@yahoo.com,510.2,$34.96,Water,Active,211.230.100.133,34.96,645-481-1939,"mrs. jamie frye dds","48434 bush spurs",en-US,unknown,2016-10-17,2023-10-20,ie
300,"South Anthonytown",ID,44571,ohorton@davidson.biz,1539.2,$156,Electric,Active,200.225.220.137,156.00,965-569-8046,"miguel stafford","0900 wang gateway suite 331",fr-FR,unknown,2020-10-18,2025-06-11,chrome
109,"East Sandrachester",VA,98094,jamesmorales@mccoy.com,777.9,151.31,Electric,Active,152.126.163.158,151.31,397-374-4799,"antonio norman","13721 martinez mountain",en-US,unknown,2016-07-02,2023-08-30,safari
57,Morrisonburgh,LA,15376,"david56 at yahoo.com",928.5,$235.59,Gas,Delinquent,155.69.124.91,235.59,278-860-2479,"scott williams","5277 glass path suite 161",en-GB,garcia-murphy,2020-01-17,2024-10-20,chrome
160,"Port Joseph",ID,54742,john16@goodman.com,1798.9,$321.9,Gas,Active,27.100.147.133,321.90,684-933-6952,"jennifer gomez","5394 stacey springs apt. 733",fr-FR,unknown,2018-12-25,2025-12-05,chrome
176,Mahoneymouth,MD,Unknown,mirandabarbara@hotmail.com,1154.4,211.87,Water,Active,155.142.193.65,211.87,964-805-0705,"theresa hansen","612 andrea parkways suite 289",es-ES,unknown,2017-09-05,2025-11-18,chrome
258,Gutierrezmouth,VA,45349,sarahrose@warren.info,597.2,$317.65,Electric,Inactive,193.181.254.139,317.65,665-382-7346,"jose mcpherson","24386 carroll plaza apt. 081",es-ES,unknown,2017-04-08,2023-09-18,safari
93,"New Keith",NH,12009,jamescruz@hotmail.com,1422.3," $413.21",Gas,Delinquent,203.63.179.54,413.21,941-887-4555,"sharon crane","7677 christopher burgs apt. 404",es-ES,unknown,2017-05-17,2023-08-29,safari
298,"South Benjamin",DE,22488,nmartin@hotmail.com,1821,$420,Water,Delinquent,197.78.246.4,420.00,909-607-4476,"kathy chan","0176 reese walks",es-ES,unknown,2021-03-31,2023-04-17,ie
165,Nelsonmouth,MN,60014,kwelch@yahoo.com,446,"25.58 USD",Gas,Inactive,207.154.48.240,25.58,598-443-9370,"brianna jackson","25355 page rapids",es-ES,unknown,2019-05-07,2024-10-02,chrome
268,Evanstown,MA,62642,katherine20@gmail.com,1235.9,$59.77,Electric,Active,202.119.185.153,59.77,905-315-8847,"kimberly lewis","46810 green parkways suite 101",es-ES,"trujillo plc",2021-12-04,2025-07-02,safari
281,Patelmouth,MO,29316,erin70@davidson-hahn.com,1275.3,230.42,Electric,Active,96.51.246.51,230.42,661-091-4579,"monica hill","6418 simpson path apt. 304",en-US,unknown,2020-02-06,2023-09-08,safari
290,"Port Neil",CO,Unknown,zadams@hotmail.com,1798.7,$407,Water,Active,183.93.157.95,407.00,380-859-1691,"kelly webb","33736 kevin lane",es-ES,"walton llc",2015-12-10,2024-09-02,safari
220,"South Tylerland",WV,67577,markriley@shah.biz,839.5,$402,Electric,Active,58.6.7.214,402.00,476-622-4646,"nicholas fitzgerald","78068 mendoza union",es-ES,unknown,2021-12-02,2024-10-27,chrome
294,Christopherville,OH,88920,nbaird@yahoo.com,1278.8,347.65,Water,Active,95.69.112.212,347.65,934-632-2644,"amanda taylor","637 mark mission",es-ES,unknown,2021-02-21,2025-07-17,chrome
78,"West Deborah",MN,86507,oallen@mathews-thomas.info,1176.4," $435.84",Water,Active,44.48.217.213,435.84,560-991-2042,"jennifer evans","668 paul glens",es-ES,unknown,2018-06-14,2025-08-29,ie
224,"Port Stacey",MA,43175,tylergolden@crane.net,513.9,$281,Water,Active,186.113.26.37,281.00,577-264-8626,"angela martin","5670 lopez brooks",en-US,unknown,2020-02-22,2025-10-18,edge
19,Ramseymouth,DC,32241,wwoods@molina-castaneda.biz,1362,60.16,Electric,Inactive,221.183.50.32,60.16,676-652-8244,"ross price","3467 paul skyway",en-GB,"ferguson, meadows and vargas",2022-05-22,2024-08-04,chrome
207,Wellsberg,NE,34832,maykarla@gmail.com,748," $340.83",Gas,Active,111.46.94.137,340.83,511-279-4537,"carol  lane","76747 noah squares",en-GB,unknown,2017-03-02,2024-01-02,chrome
12,"South David",MN,97782,bradley52@hotmail.com,941.6,"76.28 USD",Electric,Active,5.174.60.155,76.28,834-283-7868,"sarah davis","78680 charles spurs apt. 805",en-US,unknown,2018-07-10,2024-06-27,ie
119,Harrisberg,PA,27299,shawrachel@hotmail.com,82.5,$347.97,Electric,Active,89.110.67.165,347.97,446-711-2163,"cynthia evans","72233 brad common",fr-FR,flores-acosta,2019-05-04,2025-01-18,chrome
120,Penashire,NJ,77017,jrodriguez@knight.com,654.8,$272.17,Gas,Active,89.202.83.79,272.17,278-777-1674,"shannon stone","148 humphrey greens",en-GB,unknown,2017-04-12,2024-10-31,chrome
143,"West Willie",GA,77698,flemingmanuel@cruz.com,836.6," $48.22",Water,Inactive,195.178.99.246,48.22,230-179-4412,"gregory allen","588 tucker hill",en-GB,"ferguson, sims and clark",2019-03-12,2025-11-21,safari
50,"Lake Jacqueline",TX,21188,christopher25@ponce-hale.biz,1915.4," $259.24",Water,Active,102.184.150.215,259.24,881-461-7132,"nathaniel douglas","148 schneider isle",es-ES,"davis, santiago and romero",2019-11-04,2025-02-02,firefox
181,"South Brady",IN,90576,adamsrussell@glass.biz,1808.9,60.07,Water,Inactive,41.251.194.146,60.07,407-735-9263,"yolanda  warren","3559 kayla extension suite 979",es-ES,unknown,2021-09-22,2025-12-24,safari
