customer_id,name,phone,address,city,state,zip,email,account_open_date,last_payment_date,monthly_usage_kwh,monthly_bill,service_type,status,company,ip_address,browser,language
87,Kathleen Jensen,700.293.9361,657 Jordan View Apt. 459,South Leon,MD,,tayloradam@yahoo.com,"August 29, 2019","April 29, 2023",1460.4,309.29 USD,Gas,Active,Navarro-Chen,195.77.181.31,Safari,EN-us
56,Joshua Li,349-462-4232,3030 Mahoney Passage,Haysside,KS,92306-605,epollard@white.info,"March 15, 2020",23-Oct-2024,964.4,$84.91,Water,Active,,44.59.9.229,Chrome,es-ES
68,Mrs. Jamie Frye DDS,645.481.1939,48434 Bush Spurs,Stewartstad,WY,99051,erica49@yahoo.com,2016-10-17,"October 20, 2023",510.2,$34.96,Water,Active,,211.230.100.133,IE,en-US
300,Miguel Stafford,+1 965 569 8046,0900 Wang Gateway Suite 331,South Anthonytown,ID,44571,ohorton@davidson.biz,18-Oct-2020,06/11/2025,1539.2,$156,Electric,Active,,200.225.220.137,chrome,fr-FR
109,Antonio Norman,3973744799,13721 Martinez Mountain,East Sandrachester,VA,98094,jamesmorales@mccoy.com,02-Jul-2016,08/30/2023,777.9,151.31,Electric,Active,,152.126.163.158,Safari,EN-us
57,Scott Williams,+1 278 860 2479,5277 Glass Path Suite 161,Morrisonburgh,LA,15376,david56 at yahoo.com,01/17/2020,"October 20, 2024",928.5,$235.59,Gas,Delinquent,Garcia-Murphy,155.69.124.91,chrome,en-GB
160,Jennifer Gomez,684.933.6952,5394 Stacey Springs Apt. 733,Port Joseph,ID,54742,john16@goodman.com,25-Dec-2018,05-Dec-2025,1798.9,$321.9,Gas,Active,,27.100.147.133,chrome,fr-FR
176,Theresa Hansen,9648050705,612 Andrea Parkways Suite 289,Mahoneymouth,MD,,mirandabarbara@hotmail.com,09/05/2017,11/18/2025,1154.4,211.87,Water,Active,,155.142.193.65,chrome,es
258,Jose Mcpherson,665.382.7346,24386 Carroll Plaza Apt. 081,Gutierrezmouth,VA,45349,sarahrose@warren.info,08-Apr-2017,2023-09-18,597.2,$317.65,Electric,Inactive,,193.181.254.139,Safari,es-ES
93,sharon crane,941.887.4555,7677 Christopher Burgs Apt. 404,New Keith,NH,12009,jamescruz@hotmail.com,05/17/2017,"August 29, 2023",1422.3, $413.21,Gas,Delinquent,,203.63.179.54,safari,es-ES
298,Kathy Chan,+1 909 607 4476,0176 Reese Walks,South Benjamin,DE,22488,nmartin@hotmail.com,2021-03-31,17-Apr-2023,1821.0,$420,Water,Delinquent,,197.78.246.4,IE,es
165,Brianna Jackson,598.443.9370,25355 Page Rapids,Nelsonmouth,MN,60014,kwelch@yahoo.com,"May 07, 2019",2024-10-02,446.0,25.58 USD,Gas,Inactive,,207.154.48.240,chrome,es
268,Kimberly Lewis,+1 905 315 8847,46810 Green Parkways Suite 101,Evanstown,MA,62642,katherine20@gmail.com,12/04/2021,02-Jul-2025,1235.9,$59.77,Electric,Active,Trujillo PLC,202.119.185.153,safari,es-ES
281,Monica Hill,6610914579,6418 Simpson Path Apt. 304,Patelmouth,MO,29316,erin70@davidson-hahn.com,2020-02-06,08-Sep-2023,1275.3,230.42,Electric,Active,,96.51.246.51,safari,en-US
290,Kelly Webb,380.859.1691,33736 Kevin Lane,Port Neil,CO,,zadams@hotmail.com,10-Dec-2015,2024-09-02,1798.7,$407,Water,Active,Walton LLC,183.93.157.95,safari,es
220,nicholas fitzgerald,476-622-4646,78068 Mendoza Union,South Tylerland,WV,67577-987,markriley@shah.biz,"December 02, 2021","October 27, 2024",839.5,$402,Electric,Active,,58.6.7.214,chrome,es-ES
294,Amanda Taylor,+1 934 632 2644,637 Mark Mission,Christopherville,OH,88920,nbaird@yahoo.com,21-Feb-2021,2025-07-17,1278.8,347.65,Water,Active,,95.69.112.212,chrome,es-ES
78,Jennifer Evans,5609912042,668 Paul Glens,West Deborah,MN,86507,oallen@mathews-thomas.info,2018-06-14,29-Aug-2025,1176.4, $435.84,Water,Active,,44.48.217.213,IE,es
224,Angela Martin,5772648626,5670 Lopez Brooks,Port Stacey,MA,43175-112,tylergolden@crane.net,"February 22, 2020",2025-10-18,513.9,$281,Water,Active,,186.113.26.37,Edge,en-US
19,Ross Price,+1 676 652 8244,3467 Paul Skyway,Ramseymouth,DC,32241,wwoods@molina-castaneda.biz,2022-05-22,04-Aug-2024,1362.0,60.16,Electric,Inactive,"Ferguson, Meadows and Vargas",221.183.50.32,Chrome,en-GB
207,Carol  Lane,511-279-4537,76747 Noah Squares,Wellsberg,NE,34832,maykarla@gmail.com,03/02/2017,"January 02, 2024",748.0, $340.83,Gas,Active,,111.46.94.137,Chrome,en-GB
12,Sarah Davis,834-283-7868,78680 Charles Spurs Apt. 805,South David,MN,97782,bradley52@hotmail.com,07/10/2018,"June 27, 2024",941.6,76.28 USD,Electric,Active,,5.174.60.155,IE,en-US
119,Cynthia Evans,446-711-2163,72233 Brad Common,Harrisberg,PA,27299,shawrachel@hotmail.com,"May 04, 2019",01/18/2025,82.5,$347.97,Electric,Active,Flores-Acosta,89.110.67.165,Chrome,fr-FR
120,Shannon Stone,2787771674,148 Humphrey Greens,Penashire,NJ,77017,jrodriguez@knight.com,04/12/2017,"October 31, 2024",654.8,$272.17,Gas,Active,,89.202.83.79,Chrome,en-GB
143,Gregory Allen,2301794412,588 Tucker Hill,West Willie,GA,77698,flemingmanuel@cruz.com,2019-03-12,11/21/2025,836.6, $48.22,Water,Inactive,"Ferguson, Sims and Clark",195.178.99.246,Safari,en-GB
50,Nathaniel Douglas,+1 881 461 7132,148 Schneider Isle,Lake Jacqueline,TX,21188-195,christopher25@ponce-hale.biz,2019-11-04,02/02/2025,1915.4, $259.24,Water,Active,"Davis, Santiago and Romero",102.184.150.215,Firefox,es
